,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,denpasar,20,ID,1663047676,74,-8.65,115.2167,28.81,8.75
1,ostrovnoy,99,RU,1663047469,76,68.0531,39.5131,7.72,1.37
2,qaanaaq,97,GL,1663047465,92,77.484,-69.3632,1.53,2.32
3,hithadhoo,7,MV,1663047187,69,-0.6,73.0833,27.84,1.99
4,rikitea,63,PF,1663047406,70,-23.1203,-134.9692,22.71,1.5
5,faanui,90,PF,1663047595,82,-16.4833,-151.75,24.68,9.5
6,maumere,31,ID,1663047949,61,-8.6199,122.2111,29.38,0.39
7,punta arenas,0,CL,1663047422,86,-53.15,-70.9167,1.06,2.57
8,esperance,62,AU,1663047551,48,-33.8667,121.9,16.91,9.34
9,brae,90,GB,1663047980,85,60.3964,-1.353,11.94,11.56
10,yellowknife,20,CA,1663047402,93,62.456,-114.3525,6.29,4.12
11,poum,99,NC,1663047443,76,-20.2333,164.0167,23.18,11.66
12,arraial do cabo,98,BR,1663047419,92,-22.9661,-42.0278,19.85,9.82
13,bluff,96,NZ,1663047446,62,-46.6,168.3333,5.42,10.44
14,nanchang,1,CN,1663047982,35,28.6833,115.8833,32.01,6.47
15,ushuaia,20,AR,1663047403,56,-54.8,-68.3,5.81,3.6
16,ribeira grande,63,PT,1663047573,93,38.5167,-28.7,23.21,4.69
17,cabo san lucas,14,MX,1663047455,79,22.8909,-109.9124,28.06,0.45
18,chokurdakh,99,RU,1663047429,73,70.6333,147.9167,5.44,2.83
19,souillac,40,MU,1663047586,68,-20.5167,57.5167,23.21,5.14
20,lerwick,84,GB,1663047434,86,60.1545,-1.1494,12.0,11.76
21,mehamn,20,NO,1663047444,87,71.0357,27.8492,3.95,0.0
22,albany,100,US,1663047405,94,42.6001,-73.9662,20.37,0.62
23,atuona,5,PF,1663047408,75,-9.8,-139.0333,24.77,7.2
24,mandalgovi,90,MN,1663047479,19,45.7625,106.2708,27.12,6.37
25,bethel,75,US,1663047416,88,41.3712,-73.414,22.2,0.89
